Time,Actuator
18239,F16
18249,F52
18259,F17
18269,F53
18279,F18
18289,F54
18299,F19
18309,F55
18319,F20
18329,F56
18339,F21
18349,F57
18359,F22
18369,F58
18379,F23
18389,F59
18399,F14
18404,OUTW14:0
18405,C24
18420,C14
18430,F37
18440,F73
18450,F38
18460,F74
18470,F39
18480,F75
18490,F40
18500,F76
18510,F41
18520,F77
18530,F42
18540,F78
18550,F43
18560,F79
18570,F44
18580,F80
18590,F45
18600,F46
18610,F82
18620,F47
18630,F83
18640,F48
18650,F84
18660,F49
18670,F85
18680,F50
18690,F86
18700,F51
18710,F87
18720,F52
18730,F88
18740,F53
18750,F89
18760,F54
18770,F90
18780,F55
18790,F91
18800,F56
18810,F92
18820,F57
18830,F93
18840,F58
18850,F94
18860,F59
18870,F95
18880,F50
18885,OUTW50:0
18886,C60
18901,C50
18911,F1
18921,F73
18931,F2
18941,F74
18951,F3
18961,F75
18971,F4
18981,F76
18991,F5
19001,F77
19011,F6
19021,F78
19031,F7
19041,F79
19051,F8
19061,F80
19071,F9
19081,F10
19091,F82
19101,F11
19111,F83
19121,F12
19131,F84
19141,F13
19151,F85
19161,F14
19171,F86
19181,F15
19191,F87
19201,F16
19211,F88
19221,F17
19231,F89
19241,F18
19251,F90
19261,F19
19271,F91
19281,F20
19291,F92
19301,F21
19311,F93
19321,F22
19331,F94
19341,F23
19351,F95
19361,F86
19366,OUTW86:0
19367,C96
19382,C86
19392,F1
19402,F37
19412,F2
19422,F38
19432,F3
19442,F39
19452,F4
19462,F40
19472,F5
19482,F41
19492,F6
19502,F42
19512,F7
19522,F43
19532,F8
19542,F44
19552,F9
19562,F45
19572,F10
19582,F46
19592,F11
19602,F47
19612,F12
19622,F48
19632,F13
19642,F49
19652,F14
19662,F50
19672,F15
19682,F51
19692,F16
19702,F52
19712,F17
19722,F53
19732,F18
19742,F54
19752,F19
19762,F55
19772,F20
19782,F56
19792,F21
19802,F57
19812,F22
19822,F58
19832,F23
19842,F59
19852,F15
19857,OUTW15:0
19858,C24
19873,C15
19883,F37
19893,F73
19903,F38
19913,F74
19923,F39
19933,F75
19943,F40
19953,F76
19963,F41
19973,F77
19983,F42
19993,F78
20003,F43
20013,F79
20023,F44
20033,F80
20043,F45
20053,F46
20063,F82
20073,F47
20083,F83
20093,F48
20103,F84
20113,F49
20123,F85
20133,F50
20143,F86
20153,F51
20163,F87
20173,F52
20183,F88
20193,F53
20203,F89
20213,F54
20223,F90
20233,F55
20243,F91
20253,F56
20263,F92
20273,F57
20283,F93
20293,F58
20303,F94
20313,F59
20323,F95
20333,F51
20338,OUTW51:0
20339,C60
20354,C51
20364,F1
20374,F73
20384,F2
20394,F74
20404,F3
20414,F75
20424,F4
20434,F76
20444,F5
20454,F77
20464,F6
20474,F78
20484,F7
20494,F79
20504,F8
20514,F80
20524,F9
20534,F10
20544,F82
20554,F11
20564,F83
20574,F12
20584,F84
20594,F13
20604,F85
20614,F14
20624,F86
20634,F15
20644,F87
20654,F16
20664,F88
20674,F17
20684,F89
20694,F18
20704,F90
20714,F19
20724,F91
20734,F20
20744,F92
20754,F21
20764,F93
20774,F22
20784,F94
20794,F23
20804,F95
20814,F87
20819,OUTW87:0
20820,C96
20835,C87
20845,F1
20855,F37
20865,F2
20875,F38
20885,F3
20895,F39
20905,F4
20915,F40
20925,F5
20935,F41
20945,F6
20955,F42
20965,F7
20975,F43
20985,F8
20995,F44
21005,F9
21015,F45
21025,F10
21035,F46
21045,F11
21055,F47
21065,F12
21075,F48
21085,F13
21095,F49
21105,F14
21115,F50
21125,F15
21135,F51
21145,F16
21155,F52
21165,F17
21175,F53
21185,F18
21195,F54
21205,F19
21215,F55
21225,F20
21235,F56
21245,F21
21255,F57
21265,F22
21275,F58
21285,F23
21295,F59
21305,F16
21310,OUTW16:0
21311,C24
21326,C16
21336,F37
21346,F73
21356,F38
21366,F74
21376,F39
21386,F75
21396,F40
21406,F76
21416,F41
21426,F77
21436,F42
21446,F78
21456,F43
21466,F79
21476,F44
21486,F80
21496,F45
21506,F46
21516,F82
21526,F47
21536,F83
21546,F48
21556,F84
21566,F49
